transaction_id,date,amount,type,description
TXN00001,2024-07-05,28301.72,outflow,Travel expense
TXN00002,2024-09-27,10756.15,inflow,Project milestone payment
TXN00003,2024-12-16,40212.3,outflow,Rent payment
TXN00004,2024-08-23,37777.92,inflow,Invoice settlement
TXN00005,2024-04-21,7291.4,inflow,Consulting fee
TXN00006,2025-05-31,5252.1,outflow,Software subscription
TXN00007,2025-09-12,50664.15,inflow,Subscription revenue
TXN00008,2025-09-21,8798.52,outflow,Travel expense
TXN00009,2025-05-30,15278.78,outflow,Rent payment
TXN00010,2025-05-08,36488.64,outflow,Travel expense
TXN00011,2024-01-02,20629.75,outflow,Vendor payment
TXN00012,2025-06-18,23789.84,inflow,Client payment received
TXN00013,2025-12-15,8509.25,outflow,Office supplies
TXN00014,2025-05-08,73119.51,outflow,Vendor payment
TXN00015,2024-12-24,54536.38,outflow,Rent payment
TXN00016,2025-03-11,19067.07,inflow,Subscription revenue
TXN00017,2024-08-26,10694.89,outflow,Rent payment
TXN00018,2024-10-17,18267.09,outflow,Travel expense
TXN00019,2025-02-22,13640.93,inflow,Client payment received
TXN00020,2025-12-27,22584.48,outflow,Salary payment
TXN00021,2025-08-14,53796.29,outflow,Travel expense
TXN00022,2024-01-08,99869.3,inflow,Invoice settlement
TXN00023,2025-12-05,64150.12,outflow,Vendor payment
TXN00024,2025-01-05,9921.83,inflow,Subscription revenue
TXN00025,2025-10-29,12503.59,outflow,Marketing expense
TXN00026,2025-07-02,95073.33,inflow,Service fee collected
TXN00027,2025-09-18,57000.48,inflow,Project milestone payment
TXN00028,2025-02-10,15557.94,outflow,Vendor payment
TXN00029,2025-07-19,38918.14,outflow,Insurance premium
TXN00030,2024-07-02,60161.32,inflow,Consulting fee
TXN00031,2025-05-10,7842.77,inflow,Service fee collected
TXN00032,2025-08-14,3797.14,inflow,Project milestone payment
TXN00033,2025-02-11,21798.72,outflow,Rent payment
TXN00034,2024-08-23,4190.56,inflow,Project milestone payment
TXN00035,2024-06-14,108617.06,inflow,Consulting fee
TXN00036,2025-02-14,33137.2,outflow,Travel expense
TXN00037,2025-09-20,16410.37,outflow,Salary payment
TXN00038,2024-06-13,10589.0,inflow,Project milestone payment
TXN00039,2024-01-06,10410.86,outflow,Software subscription
TXN00040,2025-04-27,1955.03,outflow,Vendor payment
TXN00041,2024-03-31,146432.57,inflow,Invoice settlement
TXN00042,2025-01-14,44088.28,inflow,Client payment received
TXN00043,2025-01-28,19068.47,outflow,Vendor payment
TXN00044,2025-09-20,95613.51,outflow,Marketing expense
TXN00045,2025-12-29,13411.19,outflow,Salary payment
TXN00046,2024-06-28,18743.11,outflow,Insurance premium
TXN00047,2024-01-11,18118.49,inflow,Project milestone payment
TXN00048,2025-06-14,290908.69,inflow,Client payment received
TXN00049,2025-09-05,17477.88,outflow,Office supplies
TXN00050,2025-09-21,43700.27,inflow,Client payment received
TXN00051,2025-01-03,183655.37,inflow,Client payment received
TXN00052,2024-06-10,107398.15,inflow,Service fee collected
TXN00053,2025-02-13,7149.14,inflow,Subscription revenue
TXN00054,2025-02-19,17120.43,outflow,Travel expense
TXN00055,2024-01-16,20823.6,outflow,Rent payment
TXN00056,2024-04-02,25043.52,outflow,Travel expense
TXN00057,2025-08-19,49765.7,inflow,Service fee collected
TXN00058,2024-08-19,10669.41,outflow,Office supplies
TXN00059,2025-04-10,74789.22,outflow,Salary payment
TXN00060,2024-09-24,56713.25,inflow,Consulting fee
TXN00061,2024-04-19,37060.54,outflow,Travel expense
TXN00062,2024-10-28,186304.57,inflow,Client payment received
TXN00063,2025-06-09,27482.66,outflow,Travel expense
TXN00064,2025-08-11,29466.72,inflow,Subscription revenue
TXN00065,2025-01-21,16475.38,outflow,Office supplies
TXN00066,2024-12-13,23916.87,outflow,Insurance premium
TXN00067,2025-11-28,25164.0,outflow,Salary payment
TXN00068,2025-05-08,5367.97,inflow,Client payment received
TXN00069,2025-01-26,13402.33,outflow,Office supplies
TXN00070,2025-11-24,11940.97,outflow,Utility bill
TXN00071,2025-02-26,4345.87,outflow,Travel expense
TXN00072,2025-07-02,42484.63,inflow,Service fee collected
TXN00073,2024-09-11,56584.37,inflow,Subscription revenue
TXN00074,2025-11-20,14375.98,outflow,Utility bill
TXN00075,2024-03-18,17604.04,outflow,Software subscription
TXN00076,2025-05-02,63938.83,inflow,Invoice settlement
TXN00077,2025-08-10,26862.72,inflow,Project milestone payment
TXN00078,2025-11-30,25674.64,outflow,Office supplies
TXN00079,2025-05-25,18110.14,outflow,Office supplies
TXN00080,2024-09-04,35644.41,outflow,Office supplies
TXN00081,2024-08-22,35711.2,inflow,Invoice settlement
TXN00082,2025-09-25,26229.97,inflow,Client payment received
TXN00083,2024-05-02,15065.62,outflow,Insurance premium
TXN00084,2025-09-20,15716.69,inflow,Consulting fee
TXN00085,2024-02-13,35513.72,outflow,Utility bill
TXN00086,2025-09-27,63966.12,inflow,Consulting fee
TXN00087,2024-10-08,28495.33,outflow,Travel expense
TXN00088,2024-10-13,120604.68,inflow,Consulting fee
TXN00089,2024-05-11,36709.67,inflow,Subscription revenue
TXN00090,2025-05-04,28556.87,outflow,Salary payment
TXN00091,2025-05-29,20545.53,inflow,Project milestone payment
TXN00092,2024-06-27,57483.29,outflow,Rent payment
TXN00093,2025-12-16,32599.08,outflow,Utility bill
TXN00094,2025-12-06,69493.1,inflow,Project milestone payment
TXN00095,2024-08-03,38822.45,inflow,Client payment received
TXN00096,2024-11-29,51361.27,inflow,Service fee collected
TXN00097,2024-07-10,27141.5,outflow,Office supplies
TXN00098,2024-10-02,5538.53,outflow,Utility bill
TXN00099,2025-01-09,55485.79,inflow,Subscription revenue
TXN00100,2024-08-03,17824.33,inflow,Service fee collected
TXN00101,2025-01-08,18303.36,outflow,Marketing expense
TXN00102,2025-04-06,18847.22,inflow,Invoice settlement
TXN00103,2025-08-12,42815.99,outflow,Rent payment
TXN00104,2024-10-03,15192.86,outflow,Travel expense
TXN00105,2025-03-18,17402.13,outflow,Office supplies
TXN00106,2024-05-29,13102.75,outflow,Software subscription
TXN00107,2025-04-29,12166.9,outflow,Software subscription
TXN00108,2025-03-07,12278.95,outflow,Travel expense
TXN00109,2025-06-30,8150.73,outflow,Insurance premium
TXN00110,2024-11-03,26879.67,inflow,Consulting fee
TXN00111,2024-02-18,44032.31,inflow,Project milestone payment
TXN00112,2024-06-16,14597.59,inflow,Service fee collected
TXN00113,2025-05-02,24356.49,outflow,Rent payment
TXN00114,2025-04-05,33653.37,outflow,Marketing expense
TXN00115,2025-01-04,31635.95,inflow,Consulting fee
TXN00116,2024-09-20,11042.37,inflow,Subscription revenue
TXN00117,2024-05-04,6253.14,inflow,Project milestone payment
TXN00118,2025-09-12,81585.34,inflow,Consulting fee
TXN00119,2025-10-27,98410.14,outflow,Software subscription
TXN00120,2024-10-18,193356.57,inflow,Project milestone payment
TXN00121,2025-06-06,28030.81,outflow,Insurance premium
TXN00122,2024-03-21,49519.76,inflow,Service fee collected
TXN00123,2025-04-19,18496.44,outflow,Software subscription
TXN00124,2024-06-20,18240.92,outflow,Utility bill
TXN00125,2025-03-07,12304.7,outflow,Vendor payment
TXN00126,2024-03-14,15579.65,inflow,Service fee collected
TXN00127,2024-08-21,5584.86,inflow,Project milestone payment
TXN00128,2024-10-25,50126.41,outflow,Vendor payment
TXN00129,2024-10-04,44487.09,outflow,Utility bill
TXN00130,2025-08-24,16264.49,outflow,Insurance premium
TXN00131,2025-02-27,127574.96,inflow,Client payment received
TXN00132,2024-05-08,131565.35,outflow,Marketing expense
TXN00133,2025-12-18,8701.88,outflow,Office supplies
TXN00134,2024-06-19,64022.84,inflow,Client payment received
TXN00135,2024-03-06,21653.31,outflow,Insurance premium
TXN00136,2025-07-15,181713.16,inflow,Subscription revenue
TXN00137,2025-06-20,14533.09,outflow,Rent payment
TXN00138,2024-04-16,105036.38,inflow,Invoice settlement
TXN00139,2024-03-27,38217.28,outflow,Vendor payment
TXN00140,2024-11-12,149524.75,inflow,Project milestone payment
TXN00141,2024-10-17,22878.09,inflow,Invoice settlement
TXN00142,2024-05-14,16179.36,outflow,Software subscription
